"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5026","0","1","0.000000","0","0"
"","0","64","0","1","0.000000","65","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.660605","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","3.318819","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","1","1","2.293278","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","14.791827","0","90"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","50","20","6","32.093456","0","164"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","2.281462","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","2.298660","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","2.307067","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","2.232191","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","2","1","3.155473","0","16"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","3","1","3.071534","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.313808","0","4"
"/Game/Assets/Rocks/Rock_07/Meshes/MI_Rock_07.MI_Rock_07","0","14","3","1","12.111518","0","58"
"/Game/Assets/Rocks/Rock_01/Meshes/MI_Rock_01.MI_Rock_01","0","14","4","1","12.484436","0","64"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","26","1","1","23.141314","0","166"
"/Game/Assets/Rocks/Rock_04/Meshes/MI_Rock_04.MI_Rock_04","0","14","4","1","14.464478","0","37"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","7","1","1","4.660287","0","34"
"/Game/NewMaterial.NewMaterial","0","6","1","1","4.198970","0","21"
"/Game/Assets/Rocks/Rock_05/Meshes/MI_Rock_05.MI_Rock_05","0","14","4","1","13.833453","0","73"
"/Game/Assets/Rocks/Rock_06/Meshes/MI_Rock_06.MI_Rock_06","0","14","4","1","14.452124","0","75"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","46","6","2","52.440166","0","209"
"/Engine/Engine_MI_Shaders/M_ES_Phong_Opaque_Master_01.M_ES_Phong_Opaque_Master_01","0","70","7","2","77.246841","0","551"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","9","2","34.470047","0","203"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","59","3","1","53.687805","0","510"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","3","1","119.959686","0","1555"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","23","1","1","27.013029","0","179"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","6","1","79.385704","0","671"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","2","1","2.854339","0","11"
"/Game/Assets/Gems-fbx/Material.Material","0","16","1","1","18.401934","0","76"
"/Game/Assets/Gems-fbx/Rock.Rock","0","16","3","1","17.894199","0","92"
"/Game/M_Sky_Level3.M_Sky_Level3","0","6","2","1","4.949007","0","15"
"/Game/M_Sky_Level2.M_Sky_Level2","0","6","3","1","4.275617","0","16"
"/Game/Assets/Cat/CATS_Baked.CATS_Baked","0","26","3","1","30.225851","0","223"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","2","1","2.561248","0","11"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","35","1","1","22.296627","0","301"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","91","6","1","82.477539","0","884"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","8","1","19.241640","0","116"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","59","4","1","52.289017","0","434"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","4","1","7.103416","0","26"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","4","1","23.565212","0","113"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","5","1","12.128942","0","41"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","35","7","1","17.753277","0","181"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","4.848085","0","4"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","35","6","1","31.623770","0","185"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","665","9","1","672.130615","0","25942"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","127","5","1","170.830719","0","1276"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","35","6","1","44.883110","0","181"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","35","4","1","44.851109","0","119"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","35","5","1","42.518555","0","192"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","2","1","27.498575","0","120"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","1","1","3.854048","0","14"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","7","4","1","5.155205","0","20"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","1","1","4.545012","0","15"
"/ControlRig/M_Manip.M_Manip","0","7","4","1","4.479507","0","25"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","2","1","2.906940","0","11"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","91","1","1","99.243256","0","539"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","3","1","250.520432","0","524"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","17","1","75.350761","0","797"
"Globals","49","5537","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","2.234313","0","4"
"","49","64","0","1","0.000000","65","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","6","2","1","2.683859","0","17"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","2","1","12.236054","0","85"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","3","1","1","2.273264","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","3","1","1","2.202557","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","6","1","1","3.220624","0","20"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","5","2","1","3.354748","0","17"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","1","1","2.453294","0","13"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","28","2","1","16.309687","0","416"
